city,latitude,longitude
Seattle,47.6131746,-122.4821479
New York City,40.6976701,-74.2598667
Miami,25.7825453,-80.2994988
Los Angeles,34.0207305,-118.6919213
Houston,29.8174782,-95.681482
Chicago,41.8339037,-87.8720481
Las Vegas,36.1251958,-115.3150848
Minneapolis,44.970797,-93.3315184
El Paso,31.8113481,-106.5646027
San Francisco,37.757815,-122.5076401
Kansas City,39.099724,-94.578331
Denver,39.742043,-104.991531
Memphis,35.1288636,-90.2509744
Burlington,44.4759,-73.2121
Boston,42.3601,-71.0589
